title,description,link,source,author,published,scraped_at,guid
Tehran prepares to turn Hormuz into an instrument of regional pressure,Iranian conservatives are trying to turn control of the international shipping route into a permanent mechanism for extracting political concessions.,https://www.jns.org/analysis/tehran-prepares-to-turn-hormuz-into-an-instrument-of-regional-pressure,JNS,JCFA Iran-Syria Desk,2026-08-14T04:07:00,2026-08-14 06:13:58.843533,https://www.jns.org/analysis/tehran-prepares-to-turn-hormuz-into-an-instrument-of-regional-pressure
"Herzog marks Abraham Accords anniversary, calls to expand ‘circle of peace’",Israeli president says the landmark agreements are “just the beginning” and urges further normalization across the Middle East.,https://www.jns.org/news/israel-news/herzog-marks-abraham-accords-anniversary-calls-to-expand-circle-of-peace,JNS,JNS Staff,2026-08-14T05:02:10,2026-08-14 06:13:58.843504,https://www.jns.org/news/israel-news/herzog-marks-abraham-accords-anniversary-calls-to-expand-circle-of-peace
"At the site of a Nazi massacre, the Jews are forgotten",Former Italian Prime Minister Giuseppe Conte invokes Gaza at Sant’Anna di Stazzema while ignoring the antisemitic hatred behind the Oct. 7 massacre.,https://www.jns.org/opinion/column/fiamma-nirenstein/at-the-site-of-a-nazi-massacre-the-jews-are-forgotten,JNS,Fiamma Nirenstein,2026-08-14T05:26:59,2026-08-14 06:13:58.843473,https://www.jns.org/opinion/column/fiamma-nirenstein/at-the-site-of-a-nazi-massacre-the-jews-are-forgotten
"Families of fallen demand Netanyahu renew offensive, defeat Hamas","Forum HaGevura (""The Heroism Forum"") warned in the letter, a copy of which the group provided to JNS, that Hamas was exploiting the fact that Israel stopped taking the initiative in Gaza.",https://www.jns.org/news/israel-news/families-of-fallen-demand-netanyahu-renew-offensive-defeat-hamas,JNS,David Isaac,2026-08-14T05:44:39,2026-08-14 06:13:58.843436,https://www.jns.org/news/israel-news/families-of-fallen-demand-netanyahu-renew-offensive-defeat-hamas
War and uncertainty drives Israelis seeking quiet abroad,The high numbers of exits have led experts to warn of economic and security consequences. -- The post War and uncertainty drives Israelis seeking quiet abroad appeared first on Jewish Telegraphic Agency .,https://www.jta.org/2026/08/13/israel/war-and-uncertainty-drives-israelis-seeking-quiet-abroad,JTA,Deborah Danan,2026-08-13T13:17:04,2026-08-14 06:13:49.897450,https://www.jta.org/?p=1906108
Jared Kushner to visit Israel and Egypt next week with Board of Peace officials to talk Gaza,,https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article-live/sources-kushner-to-visit-israel-and-egypt-next-week-to-push-trumps-gaza-plan/0000019f-fdf5-d337-a7df-fffd11570000,Haaretz,Haaretz,2026-08-14T02:00:33,2026-08-14 04:09:25.816348,https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article-live/sources-kushner-to-visit-israel-and-egypt-next-week-to-push-trumps-gaza-plan/0000019f-fdf5-d337-a7df-fffd11570000
"Unmoved by Netanyahu's tricks and shticks, Eisenkot eyes a minority government","The Yashar chairman says he will ask nothing from the Arab factions: ""They can support us, abstain or be absent. That is their business' ■ He also has answers to the lies coming out of the Prime Minister's Office ■ What about the law the outgoing Knesset forgot to pass? ■ And after making sure to alienate them from Likud, Netanyahu is now searching for mainstream candidates",https://www.haaretz.com/israel-news/israel-politics/2026-08-14/ty-article/.premium/unmoved-by-netanyahus-tricks-and-shticks-eisenkot-eyes-a-minority-government/0000019f-fcf1-d28e-a3df-fcf15dcc0000,Haaretz,Yossi Verter,2026-08-14T03:00:32,2026-08-14 04:09:25.816316,https://www.haaretz.com/israel-news/israel-politics/2026-08-14/ty-article/.premium/unmoved-by-netanyahus-tricks-and-shticks-eisenkot-eyes-a-minority-government/0000019f-fcf1-d28e-a3df-fcf15dcc0000
"As battlefield shifts to low altitudes, IDF plans to build 100,000 attack drones a year","Fiber-optic explosive drones deployed by Hezbollah are eating away at Israeli air superiority in Lebanon. First proven in the Russia-Ukraine war, these micro-weapons are redefining the balance of power, and perhaps even changing warfare altogether",https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article/.premium/as-battlefield-shifts-to-low-altitudes-idf-plans-to-build-100-000-drones-a-year/0000019f-fcf0-df09-abff-fff684040000,Haaretz,Amos Harel,2026-08-14T03:01:13,2026-08-14 04:09:25.816262,https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article/.premium/as-battlefield-shifts-to-low-altitudes-idf-plans-to-build-100-000-drones-a-year/0000019f-fcf0-df09-abff-fff684040000
"Huckabee condemned 'settler terror' but he was defending Trump, not Palestinians","The U.S. ambassador's concern for an American citizen in Qusra, and the shock at reports in the international media, pale in comparison as the IDF once again punishes the Palestinians targeted by the settlers",https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article/.premium/huckabee-condemned-settler-terror-but-he-was-defending-trump-not-palestinians/0000019f-fdbc-d337-a7df-fffc7dbc0000,Haaretz,Amira Hass,2026-08-14T01:10:12,2026-08-14 01:58:35.629313,https://www.haaretz.com/israel-news/israel-security/2026-08-14/ty-article/.premium/huckabee-condemned-settler-terror-but-he-was-defending-trump-not-palestinians/0000019f-fdbc-d337-a7df-fffc7dbc0000
The secret Jewish history of San Francisco folk hero Emperor Norton,"For decades, San Franciscans have been pushing the city to name a landmark after Emperor Norton, the eccentric 19th-century character who declared himself ruler of the United States and, decades [&#8230;]",https://jweekly.com/2026/08/13/the-secret-jewish-history-of-san-francisco-folk-hero-emperor-norton/,J. Weekly,Cayla Labgold-Carroll,2026-08-13T23:54:45,2026-08-14 01:58:13.961926,https://jweekly.com/?p=309784
