title,description,link,source,author,published,scraped_at,guid
Israel's religious left has long claimed faith could revive its camp. Now comes the test,"Being left-wing in Israel once meant being secular and championing causes like public transportation on Shabbat. Today, the Zionist left is embracing religion, with openly religious and religiously-inclined leaders at its forefront for the first time. This is no coincidence",https://www.haaretz.com/israel-news/haaretz-today/2026-07-22/ty-article/.highlight/israels-left-is-moving-closer-to-religion-its-no-coincidence/0000019f-8a9b-db22-a5df-ef9b087c0000,Haaretz,Joshua Leifer,2026-07-22T17:37:25,2026-07-22 19:20:40.463820,https://www.haaretz.com/israel-news/haaretz-today/2026-07-22/ty-article/.highlight/israels-left-is-moving-closer-to-religion-its-no-coincidence/0000019f-8a9b-db22-a5df-ef9b087c0000
"Netanyahu rejects October 7 'treason' theory, says security failures must be investigated","In an interview on a podcast, Netanyahu said he expects 'anything connected to Israel's security to be investigated,' when asked if the Shin Bet should investigate allegations of 'treason' related to October 7",https://www.haaretz.com/israel-news/israel-security/2026-07-22/ty-article/.premium/netanyahu-rejects-october-7-treason-theory-security-failures-must-be-probed/0000019f-8ab0-d458-a9ff-bafa02620000,Haaretz,Jonathan Lis,2026-07-22T17:45:55,2026-07-22 19:20:40.463749,https://www.haaretz.com/israel-news/israel-security/2026-07-22/ty-article/.premium/netanyahu-rejects-october-7-treason-theory-security-failures-must-be-probed/0000019f-8ab0-d458-a9ff-bafa02620000
"Judge eases release terms for Israeli settler charged in West Bank riot, citing 'unbearable reality'","Judge Ron Sulkin, a judge who previously gained the support of far-right National Security Itamar Ben-Gvir, eased the release conditions of Uriah Cohen, a West Bank settler who was charged for involvement in the Huwara riots in June, in which eight Palestinians were wounded",https://www.haaretz.com/west-bank/2026-07-22/ty-article/.premium/judge-cites-unbearable-reality-in-west-bank-to-ease-settlers-release-terms/0000019f-88d5-d5b8-ad9f-dadd92250000,Haaretz,Josh Breiner,2026-07-22T18:30:18,2026-07-22 19:20:40.463722,https://www.haaretz.com/west-bank/2026-07-22/ty-article/.premium/judge-cites-unbearable-reality-in-west-bank-to-ease-settlers-release-terms/0000019f-88d5-d5b8-ad9f-dadd92250000
Trump pays respects to four U.S. service members killed in Iran strikes,"The soldiers killed were identified as Tyler James Feehan, 25, of Hawaii, Isabella Gonzales, 19, of Carrollton, Texas, and Michael Emmanuel Swinton, 30, of North Carolina. The soldier who disappeared after the Jordan attacks is Angel S. Rampersad, 28, of Ozone Park, New York",https://www.haaretz.com/middle-east-news/iran/2026-07-22/ty-article/trump-pays-respects-to-four-u-s-service-members-killed-in-iran-strikes/0000019f-8b00-d458-a9ff-bbea36c00000,Haaretz,Reuters,2026-07-22T18:31:18,2026-07-22 19:20:40.463692,https://www.haaretz.com/middle-east-news/iran/2026-07-22/ty-article/trump-pays-respects-to-four-u-s-service-members-killed-in-iran-strikes/0000019f-8b00-d458-a9ff-bbea36c00000
Hasan Piker invitation at College Democrats convention sparks backlash from Jewish caucus,"J Street, one of the convention's co-sponsors, said the invitation wasn't an endorsement of Piker's views, adding, 'Our mission is not to preach to the converted. It is to ensure that a pro-Israel, pro-peace voice is heard'",https://www.haaretz.com/us-news/2026-07-22/ty-article/.premium/college-democrats-jewish-caucus-condemn-surprise-speaker-hasan-piker/0000019f-89f2-de9f-afdf-a9f6374c0000,Haaretz,Ben Kroll,2026-07-22T18:59:19,2026-07-22 19:20:40.463662,https://www.haaretz.com/us-news/2026-07-22/ty-article/.premium/college-democrats-jewish-caucus-condemn-surprise-speaker-hasan-piker/0000019f-89f2-de9f-afdf-a9f6374c0000
"In south Lebanon, residents return to IDF withdrawal pilot areas and find villages destroyed","'They've been talking about this pilot for several weeks,' one resident said, adding that if an IDF withdrawal from 'three villages takes so long, what will happen with the dozens of destroyed villages? No one knows when we will return to them, if at all'",https://www.haaretz.com/middle-east-news/lebanonnews/2026-07-22/ty-article/.premium/in-south-lebanon-residents-return-to-pilot-areas-and-find-destroyed-villages/0000019f-8a4b-d084-adbf-ef5b32c90000,Haaretz,Jack Khoury,2026-07-22T19:15:57,2026-07-22 19:20:40.463627,https://www.haaretz.com/middle-east-news/lebanonnews/2026-07-22/ty-article/.premium/in-south-lebanon-residents-return-to-pilot-areas-and-find-destroyed-villages/0000019f-8a4b-d084-adbf-ef5b32c90000
‘Not Welcome in New York’: Mamdani Abandons Pledge to Arrest Netanyahu — but Escalates Rhetoric Against Israeli Leader,New York City Mayor Zohran Mamdani acknowledged Tuesday that the city has no legal authority to arrest Israeli Prime Minister...,https://www.algemeiner.com/2026/07/22/mamdani-concedes-lack-of-legal-authority-to-arrest-netanyahu-faces-backlash-from-jewish-groups/,Algemeiner,Corey Walker,2026-07-22T18:07:06,2026-07-22 19:20:34.963315,https://www.algemeiner.com/?p=776587
German Authorities Probe Alleged Anti-Israel Attempted Murder After Man Wearing Israeli Flag Pin Brutally Beaten,German authorities have launched an investigation into an alleged attempted murder after a 65-year-old man wearing an Israeli flag pin...,https://www.algemeiner.com/2026/07/22/german-authorities-probe-alleged-anti-israel-attempted-murder-after-man-wearing-israeli-flag-pin-brutally-beaten/,Algemeiner,Ailin Vilches Arguello,2026-07-22T18:33:31,2026-07-22 19:20:34.963279,https://www.algemeiner.com/?p=776588
US embassy warns Americans in Israel of organized crime violence after attacks,"The security alert follows a series of grenade attacks targeting businesses and homes in central Israel, including Japanika sushi restaurants, amid a suspected crime-family feud.",https://www.jns.org/news/israel-news/us-embassy-warns-americans-in-israel-of-organized-crime-violence-after-attacks,JNS,Mike Wagenheim,2026-07-22T17:27:33,2026-07-22 19:20:32.602212,https://www.jns.org/news/israel-news/us-embassy-warns-americans-in-israel-of-organized-crime-violence-after-attacks
"Congressional Latino-Jewish Caucus, Argentina Caucus mark AMIA bombing anniversary","“With antisemitism skyrocketing around the world, this gruesome attack on Argentina’s thriving Jewish community cannot go unanswered,” said Florida Rep. Debbie Wasserman Schultz.",https://www.jns.org/congressional-latino-jewish-caucus-argentina-caucus-mark-amia-bombing-anniversary,JNS,Mike Wagenheim,2026-07-22T17:44:29,2026-07-22 19:20:32.602187,https://www.jns.org/congressional-latino-jewish-caucus-argentina-caucus-mark-amia-bombing-anniversary
